zl,sigma_crit_inv
0.15,0.00022577473828455682
0.151,0.00022642162850943724
0.152,0.00022705983713363725
0.153,0.00022768941131151213
0.154,0.00022831039804893457
0.155,0.00022892284420342386
0.156,0.00022952679648427713
0.157,0.0002301223014526996
0.158,0.0002307094055219367
0.159,0.00023128815495740594
0.16,0.00023185859587683026
0.161,0.00023242077425037088
0.162,0.00023297473590076193
0.163,0.00023352052650344463
0.164,0.0002340581915867038
0.165,0.00023458777653180226
0.166,0.0002351093265731198
0.167,0.00023562288679828856
0.168,0.00023612850214833339
0.169,0.0002366262174178087
0.17,0.0002371160772549403
0.171,0.00023759812616176365
0.172,0.00023807240849426744
0.173,0.00023853896846253342
0.174,0.0002389978501308811
0.175,0.00023944909741800954
0.176,0.0002398927540971432
0.177,0.00024032886379617583
0.178,0.0002407574699978176
0.179,0.0002411786160397412
0.18,0.0002415923451147295
0.181,0.000241998700270824
0.182,0.00024239772441147413
0.183,0.00024278946029568748
0.184,0.00024317395053818084
0.185,0.00024355123760953142
0.186,0.00024392136383633015
0.187,0.00024428437140133503
0.188,0.00024464030234362525
0.189,0.0002449891985587567
0.19,0.00024533110179891825
0.191,0.0002456660536730883
0.192,0.0002459940956471932
0.193,0.0002463152690442656
0.194,0.00024662961504460433
0.195,0.0002469371746859349
0.196,0.00024723798886357125
0.197,0.0002475320983305774
0.198,0.0002478195436979318
0.199,0.0002481003654346902
0.2,0.0002483746038681519
0.201,0.00024864229918402487
0.202,0.00024890349142659313
0.203,0.00024915822049888437
0.204,0.00024940652616283886
0.205,0.00024964844803947834
0.206,0.00024988402560907787
0.207,0.000250113298211336
0.208,0.00025033630504554805
0.209,0.00025055308517077867
0.21,0.00025076367750603693
0.211,0.0002509681208304504
0.212,0.00025116645378344234
0.213,0.0002513587148649076
0.214,0.0002515449424353912
0.215,0.0002517251747162671
0.216,0.0002518994497899179
0.217,0.00025206780559991504
0.218,0.000252230279951201
0.219,0.0002523869105102717
0.22,0.00025253773480535946
0.221,0.00025268279022661776
0.222,0.00025282211402630694
0.223,0.000252955743318979
0.224,0.0002530837150816663
0.225,0.00025320606615406824
0.226,0.00025332283323874135
0.227,0.0002534340529012882
0.228,0.00025353976157054854
0.229,0.00025363999553879084
0.23,0.00025373479096190565
0.231,0.00025382418385959735
0.232,0.0002539082101155806
0.233,0.00025398690547777375
0.234,0.0002540603055584967
0.235,0.0002541284458346667
0.236,0.00025419136164799716
0.237,0.0002542490882051958
0.238,0.0002543016605781657
0.239,0.0002543491137042045
0.24,0.00025439148238620663
0.241,0.0002544288012928663
0.242,0.00025446110495887995
0.243,0.00025448842778515087
0.244,0.00025451080403899446
0.245,0.0002545282678543443
0.246,0.00025454085323195805
0.247,0.0002545485940396265
0.248,0.00025455152401238155
0.249,0.00025454967675270527
0.25,0.0002545430857307414
0.251,0.00025453178428450524
0.252,0.00025451580562009643
0.253,0.000254495182811912
0.254,0.0002544699488028593
0.255,0.00025444013640457165
0.256,0.00025440577829762305
0.257,0.00025436690703174497
0.258,0.0002543235550260427
0.259,0.0002542757545692142
0.26,0.0002542235378197687
0.261,0.0002541669368062456
0.262,0.00025410598342743613
0.263,0.0002540407094526031
0.264,0.00025397114652170484
0.265,0.0002538973261456162
0.266,0.0002538192797063537
0.267,0.00025373703845729895
0.268,0.00025365063352342487
0.269,0.0002535600959015212
0.27,0.00025346545646042173
0.271,0.0002533667459412314
0.272,0.0002532639949575558
0.273,0.0002531572339957293
0.274,0.00025304649341504606
0.275,0.00025293180344798964
0.276,0.00025281319420046583
0.277,0.0002526906956520343
0.278,0.00025256433765614164
0.279,0.00025243414994035544
0.28,0.00025230016210659855
0.281,0.0002521624036313851
0.282,0.0002520209038660556
0.283,0.00025187569203701464
0.284,0.0002517267972459675
0.285,0.0002515742484701597
0.286,0.00025141807456261487
0.287,0.0002512583042523747
0.288,0.00025109496614473934
0.289,0.0002509280887215092
0.29,0.00025075770034122615
0.291,0.00025058382923941576
0.292,0.00025040650352883104
0.293,0.00025022575119969676
0.294,0.00025004160011995286
0.295,0.0002498540780355007
0.296,0.00024966321257044834
0.297,0.0002494690312273582
0.298,0.00024927156138749304
