x,y,e1,e2,n
-95,-95,0.00035402962803275184,-0.009966556263528778,16.0
-95,-85,-0.0009282834049583844,-0.01052252073205346,12.0
-95,-75,-0.0023180906614532083,-0.01087800581033493,16.0
-95,-65,-0.004162212650741963,-0.011032266661043753,20.0
-95,-55,-0.006160877838253373,-0.010828406127751603,20.0
-95,-45,-0.008312503487361272,-0.010141608013597385,28.0
-95,-35,-0.010482675639897734,-0.008883621994178043,32.0
-95,-25,-0.012435102646519633,-0.007000357877692271,48.0
-95,-15,-0.01401930883500244,-0.004372013178479693,84.0
-95,-5,-0.01468472074905817,-0.002400198775442937,64.0
-95,5,-0.014684720749058173,0.002400198775442937,64.0
-95,15,-0.014019308835002443,0.004372013178479692,84.0
-95,25,-0.012435102646519635,0.007000357877692268,48.0
-95,35,-0.010482675639897736,0.008883621994178042,32.0
-95,45,-0.008312503487361277,0.010141608013597384,28.0
-95,55,-0.006160877838253372,0.010828406127751603,20.0
-95,65,-0.004162212650741965,0.011032266661043753,20.0
-95,75,-0.002318090661453203,0.010878005810334932,16.0
-95,85,-0.0009282834049583791,0.010522520732053458,12.0
-95,95,0.0003540296280327563,0.00996655626352878,16.0
-85,-95,0.0014774014839995893,-0.009962083288249247,12.0
-85,-85,0.00024596597160878047,-0.010699270986701193,9.0
-85,-75,-0.0011463216487359064,-0.011255260647275783,12.0
-85,-65,-0.0030735622621853856,-0.011666940515294936,15.0
-85,-55,-0.005256677933344784,-0.011712127445232963,15.0
-85,-45,-0.007716620388781436,-0.011226400769969605,21.0
-85,-35,-0.010305125366578214,-0.010059078295619934,24.0
-85,-25,-0.012728339444292311,-0.00808432718788977,36.0
-85,-15,-0.014758468446631185,-0.005128668312080064,63.0
-85,-5,-0.01562790502445104,-0.0028357226170558736,48.0
-85,5,-0.015627905024451043,0.0028357226170558727,48.0
-85,15,-0.014758468446631187,0.005128668312080069,63.0
-85,25,-0.012728339444292313,0.008084327187889772,36.0
-85,35,-0.010305125366578212,0.010059078295619932,24.0
-85,45,-0.007716620388781438,0.011226400769969603,21.0
-85,55,-0.0052566779333447855,0.011712127445232968,15.0
-85,65,-0.0030735622621853856,0.011666940515294932,15.0
-85,75,-0.0011463216487359006,0.011255260647275783,12.0
-85,85,0.0002459659716087725,0.010699270986701197,9.0
-85,95,0.0014774014839995908,0.009962083288249247,12.0
-75,-95,0.0025700108273087915,-0.009765715272131204,16.0
-75,-85,0.0014355263730259852,-0.010657324614707073,12.0
-75,-75,9.53987546208908e-05,-0.011402238534240348,16.0
-75,-65,-0.0018434289993401911,-0.012082219346766941,20.0
-75,-55,-0.004145341157459543,-0.012419133177123478,20.0
-75,-45,-0.0068727356356750235,-0.012211264899435527,28.0
-75,-35,-0.009885033049854948,-0.011229367760421875,32.0
-75,-25,-0.012841158799435884,-0.009239949127248832,48.0
-75,-15,-0.015417130043017323,-0.005976294135380368,84.0
-75,-5,-0.016547605499037606,-0.003334204409655885,64.0
-75,5,-0.01654760549903761,0.0033342044096558838,64.0
-75,15,-0.015417130043017323,0.005976294135380372,84.0
-75,25,-0.012841158799435886,0.009239949127248829,48.0
-75,35,-0.009885033049854946,0.01122936776042187,32.0
-75,45,-0.006872735635675026,0.012211264899435526,28.0
-75,55,-0.0041453411574595336,0.012419133177123483,20.0
-75,65,-0.0018434289993401842,0.012082219346766943,20.0
-75,75,9.539875462089389e-05,0.011402238534240348,16.0
-75,85,0.0014355263730259896,0.010657324614707071,12.0
-75,95,0.0025700108273087954,0.0097657152721312,16.0
-65,-95,0.00386790462467112,-0.009291754815934168,20.0
-65,-85,0.002903739923611493,-0.010327677634832699,15.0
-65,-75,0.0016958565983824065,-0.011274095020238045,20.0
-65,-65,-0.00015660992943918685,-0.012276558981617065,25.0
-65,-55,-0.0024977491980473095,-0.013011457046214927,25.0
-65,-45,-0.005468959000527711,-0.013247105366080956,35.0
-65,-35,-0.008984867797469112,-0.012645386038729617,40.0
-65,-25,-0.012686147783789955,-0.010783338859473919,60.0
-65,-15,-0.016115024134172814,-0.007191511050165216,105.0
-65,-5,-0.01767976201085246,-0.0040712822466531535,80.0
-65,5,-0.01767976201085246,0.0040712822466531535,80.0
-65,15,-0.016115024134172814,0.007191511050165211,105.0
-65,25,-0.012686147783789964,0.010783338859473923,60.0
-65,35,-0.00898486779746911,0.012645386038729615,40.0
